City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
356,Iqaluit,CA,1601341015,63.75,-68.51,-4.0,79,75,3.1
357,Manokwari,ID,1601341015,-0.87,134.08,29.08,64,95,2.06
358,Xining,CN,1601341016,36.62,101.77,11.06,67,33,0.62
359,Ilulissat,GL,1601341016,69.22,-51.1,-2.0,63,87,6.7
360,Baykit,RU,1601341016,61.67,96.37,-0.07,91,56,3.91
361,Green River,US,1601341016,41.53,-109.47,14.0,12,1,4.1
362,Havelock,US,1601341017,34.88,-76.9,24.44,88,1,2.6
363,Bilibino,RU,1601341017,68.05,166.44,6.03,61,42,0.98
364,Rivadavia,AR,1601341017,-33.19,-68.46,21.0,28,0,1.5
365,Bulolo,PG,1601341017,-7.2,146.65,22.23,76,100,0.4
366,Huarmey,PE,1601341017,-10.07,-78.15,16.51,83,7,3.67
367,Eirunepé,BR,1601341018,-6.66,-69.87,23.83,89,12,0.92
